frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,1,4,0.194429,0.194295,0.199462,"[1]"
1,True,1,4,0.108288,0.108183,0.112578,"[1]"
2,True,1,4,0.161777,0.161681,0.165542,"[1]"
3,True,1,4,0.137075,0.136922,0.141531,"[1]"
4,True,1,4,0.130654,0.130441,0.136836,"[1]"
5,True,1,4,0.132477,0.132386,0.136260,"[2]"
6,True,1,4,0.029758,0.029730,0.030963,"[4]"
7,True,1,4,0.031830,0.031822,0.032038,"[2]"
8,True,1,4,0.176297,0.176261,0.179730,"[2]"
9,True,1,4,0.176297,0.176261,0.179730,"[2]"
10,True,1,4,0.074944,0.074905,0.077882,"[4]"
11,True,1,4,0.074944,0.074905,0.077882,"[4]"
12,True,1,4,0.133162,0.133141,0.135862,"[3]"
13,True,1,4,0.223662,0.223645,0.225797,"[3]"
14,True,1,4,0.133162,0.133141,0.135862,"[3]"
15,True,1,4,0.023316,0.023312,0.023870,"[2]"
16,True,1,4,0.023316,0.023312,0.023870,"[2]"
17,True,1,4,0.023316,0.023312,0.023870,"[2]"
18,True,1,4,0.114508,0.114852,0.120774,"[1]"
19,True,1,4,0.114508,0.114852,0.120774,"[1]"
20,True,1,4,0.114508,0.114852,0.120774,"[1]"
21,True,1,4,0.173014,0.172949,0.174466,"[1]"
22,True,1,4,0.173014,0.172949,0.174466,"[1]"
23,True,1,4,0.173014,0.172949,0.174466,"[1]"
24,True,1,4,0.212596,0.212550,0.217214,"[1]"
25,True,1,4,0.212596,0.212550,0.217214,"[1]"
26,True,1,4,0.212596,0.212550,0.217214,"[1]"
