frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,1,4,0.198383,0.198089,0.206142,"[0]"
1,True,1,4,0.190103,0.190021,0.195444,"[2]"
2,True,1,4,0.185257,0.185478,0.191585,"[0]"
3,True,1,4,0.149983,0.150007,0.154995,"[2]"
4,True,1,4,0.161211,0.161138,0.162492,"[0]"
5,True,1,4,0.161211,0.161138,0.162492,"[0]"
6,True,1,4,0.136885,0.136800,0.141891,"[3]"
7,True,1,4,0.244087,0.243787,0.255266,"[0]"
8,True,1,4,0.116309,0.116037,0.129986,"[0]"
9,True,1,4,0.207808,0.207628,0.215777,"[4]"
10,True,1,4,0.120914,0.120761,0.125778,"[4]"
11,True,1,4,0.207808,0.207628,0.215777,"[4]"
12,True,1,4,0.087996,0.088028,0.088907,"[0]"
13,True,1,4,0.044895,0.044801,0.048395,"[0]"
14,True,1,4,0.044895,0.044801,0.048395,"[0]"
15,True,1,4,0.255379,0.255051,0.261814,"[0]"
16,True,1,4,0.161413,0.161361,0.167084,"[1]"
17,True,1,4,0.161413,0.161361,0.167084,"[1]"
18,True,1,4,0.161413,0.161361,0.167084,"[1]"
19,True,1,4,0.145554,0.145328,0.157470,"[1]"
20,True,1,4,0.013281,0.013265,0.013832,"[0]"
21,True,1,4,0.145554,0.145328,0.157470,"[1]"
22,True,1,4,0.310402,0.310038,0.322341,"[0]"
23,True,1,4,0.024198,0.024185,0.025684,"[4]"
24,True,1,4,0.158095,0.157712,0.170035,"[0]"
25,True,1,4,0.196109,0.196021,0.202230,"[1]"
26,True,1,4,0.190170,0.190152,0.192897,"[0]"
27,True,1,4,0.190170,0.190152,0.192897,"[0]"
28,True,1,4,0.108304,0.108305,0.108728,"[4]"
29,True,1,4,0.055441,0.055282,0.059302,"[0]"
30,True,1,4,0.136794,0.136718,0.140494,"[4]"
31,True,1,4,0.096507,0.096437,0.098887,"[4]"
32,True,1,4,0.096507,0.096437,0.098887,"[4]"
33,True,1,4,0.096507,0.096437,0.098887,"[4]"
34,True,1,4,0.181225,0.181115,0.191475,"[1]"
35,True,1,4,0.001320,0.001319,0.001404,"[0]"
36,True,1,4,0.001320,0.001319,0.001404,"[0]"
37,True,1,4,0.187088,0.186930,0.193358,"[2]"
38,True,1,4,0.168848,0.168787,0.172397,"[3]"
39,True,1,4,0.083678,0.083625,0.087182,"[4]"
40,True,1,4,0.083678,0.083625,0.087182,"[4]"
41,True,1,4,0.064114,0.064111,0.064377,"[3]"
42,True,1,4,0.287510,0.287498,0.289290,"[3]"
43,True,1,4,0.215629,0.215505,0.220756,"[0]"
